score,sentence1,sentence2
0.667,man paddling canoe,man playing harp
4.0,man woman walking together wood,man woman walking arm arm wooded area
3.75,woman picked kangaroo,woman pick baby kangaroo
4.133,fish swimming,fish swimming
4.0,two woman mix something food processor,two woman make something blender
3.6,person surfing large wave,person surfing
1.2,man playing guitar,man stabbing target
1.6,man playing flute band,man playing guitar
4.0,man spread butter loaf bread,man spreading butter onto bread
4.0,person boiling noodle,woman boiling noodle water
3.2,group people dance hill,group people dancing
1.0,man dancing outside,man playing flute
1.0,woman feeding man,woman mixing meat
0.6,man putting pan oven,woman cutting onion
0.4,woman sitting desk,woman riding donkey
3.4,medic transport patient stretcher,dr rush patient stretcher
3.6,woman playing flute stage,woman playing flute
3.0,two baby panda playing,two panda laying together
4.0,baby ling,baby ling giggling
1.2,man playing guitar,boy playing piano
0.6,man folding paper,woman slicing pepper
1.6,three woman dancing,man dancing
2.6,cat playing,two cat fighting
3.6,person writing,person writing pencil
3.5,man running,man running road
3.765,woman rolling dough,woman flouring rolling dough
2.75,woman adding spice meat,woman adding sugar meat
2.25,woman adding oil fish,woman pouring water fish
2.75,young boy holding guitar,little boy playing guitar
3.8,cheetah running,cheetah running across field
4.8,man eating pizza,man eating slice pizza
3.6,orangutan riding bus,monkey riding bus
1.2,man woman talk diner,man woman riding bicycle
0.4,man playing guitar,man cleaning glass door
2.4,girl singing playing guitar,young man singing playing guitar
3.9410000000000003,girl communicating sign language,young girl using sign language
0.5,woman weight exercise,woman hair
3.75,man getting inside car,elderly man getting red car
4.0,big green ball knock potato,large green ball hit potato
3.0,cat playing keyboard,cat playing piano
4.2,two dog swim pool,dog swimming pool
2.0,man used chopper chop onion,man used machine chop potatoe
5.0,woman slice tofu,woman cutting tofu
3.0,herd deer crossing street,herd caribou crossing road
3.8,person riding horse,man riding horse
0.0,someone feeding animal,someone playing piano
0.0,someone slicing tortilas,someone riding horse
0.25,someone mixing ingrediants,someone sewing thing
4.0,rooster peck dead mouse,chicken pecking dead mouse
3.25,woman hold kangaroo,woman picking kangaroo
0.75,man playing frog,cat playing camera
1.5,two men talking,two men playing guitar
3.5,man spread butter big piece bread,man smearing butter slice garlic bread
3.0,man running across high wire,man running rope
0.2,man mowing lawn,woman cutting lthemon
0.8,man opening door,man playing guitar
4.2,man slicing potato piece,man cutting potato
3.8,woman cutting cooked pu,woman chopping pu
0.4,man punching board,dog running water
0.8,man dancing,man eating bread
1.2,someone playing piano,man playing guitar
2.8,two fox eating plate brick patio,fox eating plate
3.2,boy playing keyboard,boy playing piano
5.0,person play keyboard,someone playing keyboard
0.0,man shooting gun,man spitting
1.0,someone slicing onion,someoen peeling potato
0.0,man swimming,woman slicing meat
3.75,man playing guitar,man play acoustic guitar
0.4,woman slicing pumpkin,woman riding elephant
0.4,woman dancing,woman kneading dough
0.6,woman cracking egg bowl,woman placing skewer onto rack
4.0,car moving road,car driving road
0.4,someone greasing pan,smeone laying
0.4,man playing guitar,man draining pasta
0.4,woman drinking vodka,woman exercising
4.8,woman cutting meat piece,woman cutting meat
0.6,man rinsing steak,man playing guitar
0.8,man selling itthems,man cleaning house
3.2,man jumping wall,man jump onto short wall
3.2,runner race around track,runner compete race
0.6,man kicking soccer ball,man mixing bowl
0.6,woman frying something,woman riding horse
0.0,cat licking sucker,woman slicing cucumber
1.4,woman dancing fire,woman taking bath
2.2,man slicing fish open,man slicing potato
3.6,butter melting pan,man melting butter pan
3.111,three boy dancing,kid dancing
0.6,woman playing game man,man playing piano
0.4,man driving white car,man giving interview
4.25,man drove car,man driving car
3.0,car back space,car backing blocked lane
5.0,man put cheese pizza,man sprinkled cheese pizza
5.0,boy playing piano,boy play piano
3.75,man played guitar,man playing guitar
0.2,man riding horse,man playing keyboard
0.4,man walking rope,man riding mopad
1.286,girl playing flute,band playing stage
4.6,people step train,group people get train
0.6,woman sewing machine,woman breading meat
2.0,dog looking swimming pool,dog walking around pool
5.0,man buttering piece bread,man applying butter bread
1.8,man cutting tomato piece,woman cutting vegetable
2.4,three teenage girl danced room,teenage girl dancing camera
2.4,lion walking,lion pacing pen
0.4,man shooting car,man cutting potato
4.2,black horse running around,horse running
0.0,woman deveining shrimp,man dancing rain
0.0,man riding horse,woman washing freezer
0.8,man walk path,man walk across tight rope
1.4,man slicing potato,woman cutting jalepeno
1.5,dog barking ball,dog swim tennis ball
2.5,kid run away fish swinging around fishing pole,little kid running around fishing pole
2.5,man walking along path wilderness,man walking road
3.5,elderly man speaking podium,man making speech podium
3.4,man riding horse slow motion,man riding horse
3.8,person cutting burrata cheese,person slicing cheese
3.8,man shooting automatic rifle,man shooting gun
1.5,man crushing garlic back knife,woman slicing meat knife
0.5,woman filing fingernail themery board,woman feeding baby bottle
0.0,man riding skateboard,woman cutting potato
0.0,woman taking shower,man riding white horse
0.8,man dancing,man riding horse
0.85,man rowing boat,man shooting gun
3.4,man swinging rope attached ceiling,man swinging rope
0.4,woman riding horse beach,man carrying another man back
1.75,man hold small animal one hand,man show small monkey
3.25,person folding square paper piece,man folding paper
0.75,person frying meat pan,person holding skunk
0.0,chimpanzee hurting woman,man driving car
0.0,woman peeling shrimp,man holding lthemur
4.25,two zebra playing,zebra socializing
1.8,woman slicing butter,woman slice tofu
3.2,men playing guitar,three men playing guitar singing together
3.6,elephant sprayed water ththemselves,elephant spray ththemselves water
2.6,dog sat counter store,dog standing counter
3.2,someone drill hole strip wood power drill,man drill hole piece wood
2.8,woman slicing vegetable,woman dicing garlic
4.6,badger burrowing hole,badger digging earth
0.0,woman water skiing lake,man playing flute
0.25,girl playing violin,baby ling giggling
3.923,helicopter landing helipad,helicopter land
2.75,woman cutting chicken,woman slicing meat
0.0,woman cutting cucumber,man playing guitar
3.0,woman ride elephant front adoring crowd,woman ride elephant
3.8,puppy sliding backwards along floor,puppy pushing backwards
4.6,woman split garlic clove,woman breaking head garlic clove
2.6,dog looking swimming pool,dog walking along edge pool
3.6,woman mix beauty treatment glass,woman mixing cream glass spoon
3.6,man drawing picture,person drawing
1.0,woman picking tomato,woman pouring batter bowl
2.75,man looking computer monitor,man using laptop
1.25,boy riding tricycle,woman riding water scooter
2.75,two men compete tire rolling race,two people flipped tractor tire race
0.0,person cutting meat,person riding mechanical bull
0.0,man playing violin,woman using sewing machine
2.4,baby crawled doorway,baby crawling across floor
2.2,man playing keyboard,person playing piano
0.2,man smelling two pizza,woman feeding man
2.8,monkey pull tail dog,monkey teasing dog zoo
4.0,dog lie back wooden floor,dog laying floor
0.0,woman frying something pan,man playing guitar
5.0,man put seasoning bowl water,man added seasoning water bowl
0.0,elderly woman pouring oil frying pan,tied man putting water
3.2,woman chopping onion,woman slicing partially half onion
3.5,woman picked kangaroo,woman carrying kangaroo
1.75,dog biting,dog open food
1.25,woman deboning fish,man catch fish
0.833,man mowing grass,man busting concrete
0.0,cat watching tv,man slicing leave
3.75,boy stuck door doghouse,child stuck dog house
2.75,people flip swimming pool,men falling pool
3.8,woman swim underwater,woman swimming
0.2,man playing guitar,woman dancing
3.4,airplane flying air,south african airway plane flying blue sky
1.4,bear running two dog,bear fighting wolf
3.8,woman resting floating raft,woman relaxes inner tube
0.4,man dieing operating room,man kissing woman stage
0.0,man holding leaf,woman watching television
0.0,person riding horse,woman slicing potato
0.0,woman slicing pu,man playing guitar
0.2,man breaking water jug,woman peeling garlic
0.0,man playing guitar,woman cutting vegetable
0.0,girl eating cupcake,man slicing cucumber
3.8,little girl played grass dog ball,baby play dog ball
2.25,people ride paddle raft,four people floating raft
2.4,lady cut potatoe,man cutting potato
3.2,missile exploded,rocket exploded
1.6,dog playing snow,dog pawing fly carpet
0.4,woman dancing woman,woman shredding chicken
0.0,boy pushing van,person slicing tomato
0.4,boy making dance step,boy pouring something pitcher
0.6,woman opening soda drinking,woman riding elephant
1.0,man assthembling speaker part,man playing guitar
4.6,dog walked along edge pool,dog walking along pool
4.25,butter put bowl,man cutting butter mixing bowl
1.5,raccoon eating,man eating
3.5,someone fell horse,man get knocked horse
0.0,woman peel apple,man pop wheelies motorcycle
0.0,man taking math class,man rinsing steak
0.0,animal playing water,two men playing ping pong
0.33299999999999996,man riding horse jumping obstacle,man kicking soccer ball
0.33299999999999996,person pencil trick hand,person slicing carrot half
3.333,person lit camera fire,person blow torching camera
4.333,man slicing tape box,man cutting open box
0.8,man fishing river,man singing walking sidewalk
0.2,man riding bike,woman dancing street
0.0,man pushup,woman cutting pu
0.0,man playing guitar,woman slicing pork
2.8,little boy singing playing guitar,baby playing guitar
0.8,woman powdering face,woman tapping finger table
0.0,woman peeling potato,lion walking around
0.25,woman firing rifle,man performing stunt
0.5,woman put garland man shoulder,man pours water pilot head
3.75,old woman shaking hand man,man woman shake hand
1.75,woman waterskiing,woman wake boarding lake
2.667,tree bending storm,tree hit hard wind
0.4,man woman riding car,woman frying shrimp
0.0,man moving tree limb,woman playing violin
1.0,man play piano,woman playing violin
0.8,person pours oil skillet,person dicing onion
0.0,animal eating,woman dancing
4.0,woman walking dog,woman walk dog street
5.0,group people sing,people singing
4.4,cat drinking milk,cat licking saucer milk
2.0,girl making eyelid,woman applying eyeshadow
2.8,two men fighting,two men fighting using form ial art
2.5,military officer barked recruit,officer talking recruit
2.5,man putting chicken container,man putting food box
2.25,man tying stenographer machine,man used stenograph
3.6,woman adding pasta pot water,woman making noodle
1.2,woman lying blanket rock reading book,woman seated singing song playing guitar
0.2,two puppy playing,men playing soccer
1.0,man running field,man climb rope
0.4,man hugging someone,man taking picture
2.8,someone pouring ingrediants pot,man put vegetable pot
0.0,couple walking,men sawing
3.0,person playing guitar,man played guitar
3.0,person adding food pan,woman put rice pan
2.8,group penguin walking,large amount penguin heading ocean
0.0,man playing guitar,someone handling bun
0.0,dog jumping trampoline,boy playing guitar
2.2,man shaking container kitchen sink,man themptying plastic container
3.75,man walking horse,man leading horse around halter
4.0,paper cut scissors,piece paper cut
3.5,person peel shrimp,lady peeled shrimp
0.8,man playing guitar,man try read paper
0.8,man making bed hotel,man holding animal
1.75,dog pulled dog tail leg,monkey pulled dog tail
3.0,woman beat two egg bowl,person mixing ingredient bowl
0.0,man jumping rope outside,woman slicing cucumber
0.0,person slicing onion,hamster singing
0.0,woman hold kangaroo,man hat sings song
3.8,soccer player kicking soccer ball goal,soccer player score goal
3.2,woman cooking something,woman pouring ingredient frying pan
3.2,woman swimming beach,woman splash around ocean wave
0.8,man carrying another man,man spray another man water hose
1.5,woman putting paste dish,woman pulling kind sticky goo bowl
2.75,man holding talking gray tube tshirt,man showing shirt
3.75,someone pours olive oil bowl tomato wedge,man poured oil tomato slice
3.2,man playing guitar,man played guitar friend
0.8,someone boiling okra pot,someone pours olive oil bowl tomato wedge
0.0,person peeling potato,cat licking small bottle
0.0,cat jumping box,young man talking leaf
1.4,woman seasoning oil,woman pouring ingredient bowl
3.2,cat sliding upside couch,cat crawling piece furniture back
2.2,woman dance man play keyboard,woman dancing stage
2.533,chef cleaning bowl soup,man wiping edge bowl
3.4,explosion booming desert,nuclear weapon explodes desert
0.0,woman slice lthemon,man talking microphone
0.8,overweight man skipping rope,young man dancing
3.2,lady cracked two raw egg,woman cracking egg bowl
0.0,man sharpens pencil using knife,woman dancing rain
0.0,plastic toy floating water,lady performing dance
3.0,turtle followed fish,sea turtle hunting fish
2.8,woman pencilling eye shadow,girl using eye pencil eyelid
0.0,man tying shoe,dog riding bicyclist shoulder
0.41700000000000004,woman slicing meat knife,man spreading dough
0.0,dog running ground,girl tapping finger nail
1.0,man petting tied dog,man showing dog camera
2.0,woman walking open ground pet dog dog follow ththem,man walking several dog
0.0,woman mincing garlic,person cleaning disk
2.5,two team playing soccer,different set team playing football field
2.0,rat like creature smelling around,animal walking ground
0.0,two sumo ringer fighting,man ride water toy water
0.0,man lay ground aim rifle,man spreading butter tortilla
2.818,couple running towards ocean,man woman running together holding hand
3.533,woman chopping hard egg,person cutting boiled egg piece
3.8,two robot share kiss,male fthemale robot kissing
3.25,cat trying touch dog,cat teased dog touching head
4.0,rhino grazed grass,rhino grazing field
0.0,man drove little red car around traffic,dog ran water beach
1.0,man cutting bread,man trick soccer ball
2.6,cat rapidly swat kid head,cat boy play together
1.4,cat playing box,dog playing floor cleaner
3.2,couple danced church,couple slow dance
0.0,man patting alligator mouth,person dumping chopped vegetable pot stove
0.0,person check rice pudding,horse running
0.0,woman stirring two egg glass bowl,young girl singing stage
0.0,man playing drum,man pours cleaner sink
3.8,man slicing pepper,person cut big green pepper apart
0.643,woman speaking sign language,woman spice seafood
0.0,boy crawling dog house,cat playing floor
2.25,girl flew kite ran hill,girl loses kite
1.25,woman placing food pot hot water,woman frying meat
3.4,small monkey walk water,monkey wading across h
0.0,man riding bike,panda bear eating
0.2,young man singing playing piano,man writing letter
0.5,boy take sunglass,boy screaming
0.0,girl playing piano,boy push ups
4.0,lady sliced tomatoe,someone cutting tomato
0.0,someone holding hedgehog,onion sliced
1.0,woman peel potato,woman grilling pineapple
0.0,cat drinking water,truck going hill
0.0,person putting salt pepper piece pork,youngster sitting piano
0.0,man sat chair stared,little girl putting hair pony tail
1.8,woman dicing potato,woman cut tofu tiny piece
1.2,baby crawling happily,baby sneezed scared another baby
0.6,person frying meat pan,man cutting vegetable
0.25,man looking window,woman swimming water
3.25,man seated playing guitar,man playing acoustic guitar singing microphone
1.25,woman slicing onion knife,man preparing dish
4.0,rider running jumping horse,woman jump hurdle horse
3.25,boy playing keyboard,boy sitting room playing piano lamp light
0.75,two men fighting,man exercising
3.25,man playing wooden flute several men play bongo drum,man playing flute
1.2,person petting monkey,man holding slow loris
3.8,two cartoon rabbit kissing,rabbit kissing another rabbit
3.4,hedgehog chewed towel,hedgehog biting blanket
0.0,cat licking,man slicing white onion mandolin slicer
3.5,small guinea pig gnawing eating piece carrot floor,guinea pig eats carrot
3.75,four boy standing front burning car,four young men stand still car explodes behind ththem
4.0,man smoking,man sat suit smoked
0.2,woman adding sauce food,person cutting leaf
0.0,three child eating food,deer jumped fence
0.0,subne going water,baby falling asleep
0.8,man running street,man play guitar
0.0,person slicing onion,cat pooping toilet
0.0,badger digging dirt,man moving large rock
0.0,woman slicing big pepper,dog moving mouth
5.0,man riding bicycle,man riding bike
0.6,man woman kissing,man woman talking
4.2,woman slicing onion,woman cutting onion
3.75,small boy playing dog,baby playing dog
5.0,man drawing,man drawing
1.25,man cutting potato,woman cutting tomato
3.6,boy playing guitar,kid playing guitar
5.0,woman cutting onion,woman cutting onion
5.0,toy train striking toy car,toy train strike toy car
2.2,man playing guitar,man playing flute
5.0,cat open drawer climb inside,cat opening drawer climbing inside
4.25,woman frying food,woman deep frying food
2.5,man dicing onion,woman cutting onion
2.8,girl playing guitar,man playing guitar
2.8,girl singing stage,man singing stage
2.8,woman riding horse,woman riding donkey
2.8,girl playing guitar,man playing guitar
5.0,woman brushing shrimp,woman brush shrimp
4.8,man dancing ceiling,man dancing ceiling room
4.2,woman thinly slice onion large knife,woman slicing onion large knife
5.0,man playing keyboard,man play keyboard
5.0,man play guitar,man playing guitar
5.0,woman peeling potato,woman peel potato
3.75,woman handling frog,man holding frog
2.0,man playing flute,man playing guitar
1.5830000000000002,man playing guitar,man playing flute
1.778,man playing piano,man playing guitar
2.0,man playing guitar,man playing piano
2.0,man playing flute,man playing guitar
2.0,man playing flute,man playing guitar
3.2,two woman couch,two woman hugging couch
3.8,someone slicing cucumber,man slicing cucumber
4.4,kitten playing blue rope toy,kitten playing toy
5.0,dog barking toy,dog barking toy
3.5,person fold tortilla,man fold tortilla
4.0,cat drinking milk,kitten drinking milk
3.5,person driving car,man driving car
4.4,turtle walking,tortoise walking
3.8,cow eating grass,cow eating hay
2.6,woman chopping broccoli,woman chopping garlic
3.0,man cry,man screaming
5.0,man playing guitar,man playing guitar
3.667,man cutting onion,man cutting plantain
2.333,man slicing potato,woman peeling potato
4.0,woman tapping finger table,woman tapping finger
4.4,someone boiling okra pot,someone cooking okra pan
0.2,man smoking,man mixing
5.0,man playing drum,man playing drum
5.0,man dive pool,man diving pool
4.0,woman cutting leak,woman slicing leek
4.6,little boy playing guitar,boy playing guitar
2.6,woman dancing,man dancing
2.6,woman talking,men talking
2.6,girl putting gel hair,woman putting gel hair
2.2,kid playing guitar,man playing guitar
1.7,group people hing place,group people dancing concert
2.0,woman shooting machine gun,man shooting gun
4.0,man played piano,man play piano
3.25,woman slicing onion,someone slicing onion
4.5,man slicing cucumber,man cutting cucumber
2.6,girl eating cupcake,woman eating cupcake
2.0,woman cutting onion,man chopping onion
1.8,man playing guitar,baby playing guitar
1.556,man playing guitar,man playing drum
4.5,two little girl talk telephone,two girl talk phone
4.0,man chopping log axe,man chopping tree trunk axe
1.6,person cutting capsicum piece,person slicing garlic piece
0.5,man talking woman,woman walking dog
1.4,man walking,man talking
1.6,someone pouring oil skillet,someone pouring milk blender
4.4,small kitten playing ball,kitten playing ball
1.8,man playing guitar,woman playing flute
2.6,girl playing violin,girl playing flute
1.6,man playing two piano,cat playing piano
3.0,man exercising,girl exercising
2.0,person slicing scallop,person slicing pu
2.0,man woman riding bicycle,man woman riding motorcycle
4.0,two men fighting cow pasture,two men fighting cattle pen
3.0,woman adding oil pan,man pouring oil pan
4.4,girl make bed,young girl make bed
4.8,cat played watermelon,cat playing watermelon
4.8,girl jump car,girl jumping onto car
0.727,man praying,man running
0.0,car parking,cat playing
1.25,man running,man dancing
0.5,man singing,man dancing
3.25,man carrying another man shoulder,man carrying someone shoulder
1.3330000000000002,woman peeling potato,woman slicing tomato
1.0,woman cutting tomato,woman slicing potato
1.4,someone peeling potato,someone slicing tomato
1.3330000000000002,woman peeling potato,woman slicing tomato
5.0,two robot kiss,two robot kissing
4.0,two boy couch playing video game,two boy playing video game
4.4,woman squeezing lthemon,woman squeezing juice lthemon
1.2,woman slicing onion,man slicing tomato
1.2,woman slicing carrot,man slicing tomato
1.25,girl styling hair,girl filing nail
5.0,man walking stair,man walk staircase
2.0,two people riding motorcycle,two people riding bike
2.2,man playing guitar,woman playing electric guitar
3.2,man playing guitar singing,man playing guitar
1.5,man walking rain,man woman walking grand
4.75,kangaroo eating,kangaroo eating
0.5,man fishing,man exercising
0.067,woman swimming,man singing
1.6,woman eating,animal eating
2.6,boy girl dancing rain,man woman dancing rain
4.875,man driving car,man drive car
5.0,woman grating onion,woman grate onion
2.0,two rooster fighting,two men fighting
1.4,man riding horse,man driving car
1.4,man riding horse,man driving car
0.8,man shooting gun,man slicing bun
2.0,woman cutting onion,woman cutting meat
1.6,woman slicing herb,man slicing bread
3.0,boy playing piano,man playing piano
3.615,baby elephant eating,baby elephant eats sapling
4.0,woman cracking egg bowl,woman cracking egg
4.0,person playing keyboard,boy playing keyboard
3.333,boy whack man sword,boy spank man plastic sword
1.5,person slicing carrot piece,person cutting onion piece
4.4,man sliced bunch water bottle knife,man slicing line water bottle knife
2.875,man writing book,man writing paper
2.2,woman slicing garlic,woman slicing big pepper
0.2,person making bed,person eating table
1.8,man playing keyboard,man playing guitar
1.6,man playing violin,man playing harp
0.2,woman smoking,man walking
3.0,man erased man board,man erased work board
3.5,man riding motorcycle,man riding motorcycle town
3.5,man riding motorcycle highway,man riding motorcycle
2.0,woman slicing meat,woman slicing onion
5.0,woman cut broccoli,woman cutting broccoli
0.0,man playing piano,woman peeling potato
3.2,someone slicing tomato,someone slicing fruit
3.25,woman dancing cage,woman dancing
0.0,woman swimming,man spitting
1.0,man running,man mooing
3.667,man playing guitar,man played guitar
3.0,cat stare camera,cat address camera
4.2,baby ling crawling,baby ling crawling floor
4.091,woman shooting gun,woman shoot shotgun
2.0,woman dancing rain,woman dancing railway station
1.0,woman dancing,woman exercising
3.8,kid playing instrument,young boy playing wind instrument
4.0,someone slice bottle sword,man break bottle sword
1.8,woman cutting apple,woman cutting potato
5.0,man peeling apple,man peel apple
1.0,man playing guitar,man playing skull
3.0,animal walking ground,solenodon walking along ground
2.6,little girl playing grand piano stage,little girl playing piano
3.4,group people dancing,group men dancing
2.0,man play guitar,woman playing guitar
4.2,cat swing ceiling fan,cat spun around ceiling fan
3.8,woman playing flute,girl playing flute
4.4,woman dicing onion,woman cutting onion
4.2,monkey brushing bull dog,monkey brush dog
1.2,woman slicing onion,woman cutting potato
1.2,man playing piano,woman playing guitar
0.8,woman washing hand,woman straightening hair
3.2,woman fire shotgun,woman shooting gun
4.0,man eating bowl cereal,man eating cereal
4.4,woman bathing bathtub,woman taking bath
4.2,motorcyclist crash motorcycle,person crash motorcycle
3.2,man dangling mouse near snake,man feeding mouse snake
3.4,man woman walking wood,man woman walking le
4.0,person pours rice pudding bowl,lady poured rice pudding bowl
4.8,man stare window,man look window
0.2,woman firing rifle,woman cutting lthemon
1.8,man eating banana,someone peeling banana
2.6,men performing stage,comedic mime performed stage
2.8,cartoon woman dive pool,cartoon woman diving board
5.0,lady put baby int trashcan,woman put baby trash
0.25,someone frying meat,someone playing paino
3.75,man rapidly chopping mushroom using knife,person quickly chopping mushroom knife
1.75,woman adding ingredient bowl,woman cracking three egg bowl
3.5,skateboarder trick halfpipe,man skateboard half pipe
3.4,man speaking stage,man speaking podium
1.4,man playing guitar,man hat playing harp
1.4,man playing keyboard,man playing guitar
1.0,person cutting potato,person slicing shallot
4.6,man dancing ceiling room,man dancing upsidedown ceiling
0.4,two men dancing,two woman shopping
3.6,someone seasoning egg,someone seasoning two raw egg bowl
1.25,man swinging rope,gibbon swinging tree
1.5,man cutting tomato,woman cutting broccoli
1.0,woman boiling shrimp,woman combing hair
3.75,man cut potato,man slicing potato
3.25,man dancing road,man dancing
4.0,deer jumped fence,deer jump cyclone fence
3.0,girl dance rain,woman dancing rain
